iter	Logloss
0	0.6319212656
1	0.5858835746
2	0.5518993879
3	0.5239427043
4	0.5074924313
5	0.4943794738
6	0.4819923169
7	0.4743283819
8	0.4686403315
9	0.4647722876
10	0.4610301083
11	0.4569387152
12	0.4540278657
13	0.4520077808
14	0.4499745991
15	0.4488903196
16	0.4476239907
17	0.4466167508
18	0.4453020292
19	0.4444640956
20	0.443674761
21	0.4429695066
22	0.4422186783
23	0.4416457103
24	0.4408372611
25	0.4402749604
26	0.4399169766
27	0.4396438879
28	0.4392284249
29	0.4390446705
30	0.4386207601
31	0.4384071405
32	0.4381403218
33	0.437797276
34	0.4375800965
35	0.4373940814
36	0.4372771632
37	0.4371355983
38	0.4369762259
39	0.436811278
40	0.4365192009
41	0.4363463253
42	0.4361749626
43	0.4360177385
44	0.4359239267
45	0.4358122984
46	0.4357079402
47	0.4355803713
48	0.4354168647
49	0.435258861
50	0.4351922824
51	0.4349956306
52	0.4348821472
53	0.4347765577
54	0.4347765566
55	0.4347073555
56	0.4346019354
57	0.4345052095
58	0.434382509
59	0.4343079547
60	0.4341920956
61	0.4339933759
62	0.433945596
63	0.4337887686
64	0.4336454277
65	0.4335982009
66	0.4334617091
67	0.4333417685
68	0.4333001847
69	0.4331247216
70	0.4330057178
71	0.4328005429
72	0.4327204941
73	0.4327000285
74	0.432614387
75	0.4323497941
76	0.4322958383
77	0.4321709417
78	0.4320845365
79	0.4319916057
80	0.4319699857
81	0.4319067156
82	0.4317391771
83	0.431676106
84	0.4316141824
85	0.4315517312
86	0.4315057664
87	0.431258357
88	0.4311878408
89	0.4311415513
90	0.4310662858
91	0.4310310832
92	0.4309433118
93	0.4308923651
94	0.4307549338
95	0.4305511
96	0.4305026417
97	0.4304091693
98	0.4303243563
99	0.4302558819
100	0.4302088318
101	0.4300994389
102	0.4300120406
103	0.4298403742
104	0.4296256747
105	0.4295760306
106	0.4294867123
107	0.4294105344
108	0.4292590196
109	0.4291806498
110	0.4290502524
111	0.4288676164
112	0.4288162107
113	0.4287389361
114	0.4286386169
115	0.428529385
116	0.4284323911
117	0.4283818266
118	0.428267629
119	0.4281831451
120	0.4280870098
121	0.4279713098
122	0.4279381129
123	0.4279198625
124	0.4278623647
125	0.4278101055
126	0.4277578546
127	0.4276827724
128	0.4276203874
129	0.4273247341
130	0.42712792
131	0.4270644502
132	0.4270407537
133	0.4269852053
134	0.4269489056
135	0.4268689658
136	0.4268077548
137	0.4265954108
138	0.4265110502
139	0.4264757811
140	0.426420417
141	0.426124267
142	0.4259164839
143	0.4258470218
144	0.4257957032
145	0.4256695544
146	0.4256037489
147	0.4255540442
148	0.425501385
149	0.4254512621
150	0.4253807166
151	0.4252916288
152	0.4251750465
153	0.4251135755
154	0.4250280004
155	0.4249492807
156	0.4248908232
157	0.4248001798
158	0.4247461822
159	0.4246671087
160	0.4245559295
161	0.4244843725
162	0.4244128741
163	0.4243477065
164	0.4242750644
165	0.4241589785
166	0.4240959957
167	0.4240576263
168	0.4239733754
169	0.4239252928
170	0.4238862502
171	0.4238548031
172	0.4237896088
173	0.4236412439
174	0.4232509938
175	0.4231883688
176	0.4231477663
177	0.4231228817
178	0.4230741475
179	0.4230192314
180	0.4229511334
181	0.422849815
182	0.4227780726
183	0.4226791773
184	0.4226380492
185	0.4225823281
186	0.4224968592
187	0.422438317
188	0.422382851
189	0.4223338151
190	0.4223032125
191	0.4222533758
192	0.4221913789
193	0.4221502727
194	0.4220848035
195	0.422057006
196	0.4220039094
197	0.4219451631
198	0.4219036269
199	0.4218285991
200	0.4217319464
201	0.4216822147
202	0.4215243907
203	0.4214283912
204	0.4213776085
205	0.4213284643
206	0.4213013514
207	0.421221618
208	0.4211383452
209	0.4210965763
210	0.4210159413
211	0.420980701
212	0.4209462814
213	0.4206463405
214	0.4205743191
215	0.4205303379
216	0.4204581029
217	0.4203965911
218	0.4203330813
219	0.4202746453
220	0.4201793003
221	0.4201099158
222	0.4200629537
223	0.4200093823
224	0.4199880048
225	0.4199635344
226	0.4198889169
227	0.4197181104
228	0.4195768541
229	0.4195464083
230	0.4195059331
231	0.4194497956
232	0.4193674346
233	0.419325097
234	0.4192733692
235	0.4192149874
236	0.4191308277
237	0.4190600023
238	0.4189828348
239	0.4189530466
240	0.4188825147
241	0.418821908
242	0.4187850877
243	0.4187465945
244	0.4186995685
245	0.4186677962
246	0.4186371412
247	0.4185967168
248	0.4184559752
249	0.4183683046
250	0.4183134972
251	0.4182897671
252	0.4182045574
253	0.4181547929
254	0.41812432
255	0.4180786114
256	0.4179527678
257	0.4179071212
258	0.4178613804
259	0.4177900799
260	0.4177149913
261	0.4176619356
262	0.4175917967
263	0.4175190416
264	0.4174603244
265	0.4174237909
266	0.417358687
267	0.4172998063
268	0.4172233612
269	0.4171901458
270	0.4171585938
271	0.4170966686
272	0.4170371474
273	0.4170163036
274	0.4170000811
275	0.4169548915
276	0.4169143804
277	0.4168792071
278	0.4167349849
279	0.4166955749
280	0.4166435203
281	0.4165936845
282	0.4165620093
283	0.4164894117
284	0.4164504907
285	0.4163922665
286	0.4162344787
287	0.416211499
288	0.4161554113
289	0.416082713
290	0.4160130983
291	0.4159800576
292	0.4159387772
293	0.4158839782
294	0.4157448924
295	0.4156964463
296	0.4156579249
297	0.4156112094
298	0.4155865108
299	0.4155381887
300	0.4154845092
301	0.4154311184
302	0.4154057714
303	0.4153787479
304	0.4153367173
305	0.4152873896
306	0.4152632814
307	0.4152212755
308	0.4151802959
309	0.4151322965
310	0.415104873
311	0.414914058
312	0.4148743647
313	0.4148078634
314	0.4147379213
315	0.4146739291
316	0.4144440834
317	0.4144023135
318	0.4143297019
319	0.4142993246
320	0.4142273359
321	0.4142085627
322	0.4141661342
323	0.414134788
324	0.4140693087
325	0.4139593947
326	0.4139159439
327	0.4137525731
328	0.4137042582
329	0.4135462726
330	0.4135002647
331	0.4134484694
332	0.4133629463
333	0.4131912828
334	0.413158707
335	0.4131174338
336	0.4130923513
337	0.413023069
338	0.412964668
339	0.4129020314
340	0.4128236216
341	0.4127899925
342	0.4127062659
343	0.4126508345
344	0.4126100994
345	0.4125914705
346	0.4125189573
347	0.4123700339
348	0.4123054081
349	0.4122703534
350	0.41213302
351	0.4121152415
352	0.4120631983
353	0.4120380547
354	0.4119814651
355	0.4119216896
356	0.41190259
357	0.4118628935
358	0.4118204674
359	0.411693668
360	0.4116319996
361	0.4115708494
362	0.4115031878
363	0.4114573676
364	0.4114157529
365	0.4113731145
366	0.4113371712
367	0.4113077283
368	0.4111704745
369	0.4111229117
370	0.4110650606
371	0.4110442856
372	0.4109645197
373	0.410924345
374	0.4108911909
375	0.4108720328
376	0.4108165102
377	0.4107829441
378	0.4107514173
379	0.4106952541
