iter	Passed	Remaining
0	542	541500
1	703	351055
2	1388	461385
3	1904	474123
4	2033	404589
5	2120	351305
6	2447	347134
7	3061	379606
8	3181	350303
9	3266	323388
10	3325	299004
11	3465	285290
12	3596	273078
13	3717	261785
14	3864	253745
15	4316	265474
16	4477	258907
17	4603	251161
18	4834	249626
19	5063	248102
20	5386	251135
21	5617	249711
22	5900	250635
23	6020	244822
24	6145	239663
25	6312	236481
26	6449	232428
27	6590	228786
28	6728	225285
29	6944	224553
30	7075	221159
31	7224	218535
32	7427	217633
33	7568	215038
34	7694	212149
35	7960	213166
36	8156	212297
37	8379	212145
38	8515	209824
39	8723	209373
40	8856	207152
41	8977	204761
42	9111	202791
43	9229	200541
44	9393	199340
45	9580	198688
46	9747	197647
47	9933	197016
48	10066	195365
49	10195	193719
50	10326	192160
51	10536	192092
52	10654	190376
53	10878	190582
54	10928	187766
55	11053	186331
56	11170	184799
57	11318	183833
58	11452	182653
59	11635	182290
60	11876	182813
61	12002	181589
62	12093	179861
63	12216	178665
64	12443	179000
65	12597	178280
66	12861	179100
67	12990	178044
68	13093	176670
69	13199	175358
70	13393	175252
71	13527	174350
72	13647	173302
73	13859	173429
74	13988	172529
75	14127	171762
76	14235	170642
77	14407	170308
78	14553	169665
79	14661	168606
80	14821	168164
81	14952	167392
82	15091	166732
83	15207	165832
84	15366	165414
85	15495	164684
86	15620	163923
87	15837	164136
88	15966	163432
89	16071	162500
90	16166	161489
91	16298	160860
92	16449	160424
93	16585	159852
94	16710	159188
95	16992	160009
96	17115	159333
97	17232	158611
98	17348	157890
99	17483	157350
100	17606	156715
101	17798	156699
102	17932	156171
103	18056	155567
104	18188	155038
105	18286	154226
106	18446	153949
107	18554	153250
108	18684	152734
109	18873	152704
110	19005	152213
111	19128	151659
112	19262	151201
113	19429	151004
114	19822	152543
115	19964	152144
116	20085	151586
117	20227	151195
118	20374	150839
119	20558	150762
120	20695	150338
121	20910	150485
122	21056	150132
123	21156	149459
124	21283	148982
125	21397	148426
126	21531	148006
127	21643	147447
128	21832	147408
129	22019	147363
130	22165	147039
131	22289	146570
132	22402	146036
133	22593	146014
134	22687	145366
135	22907	145527
136	23033	145093
137	23158	144656
138	23323	144472
139	23470	144173
140	23606	143817
141	23815	143901
142	23955	143565
143	24059	143021
144	24186	142619
145	24317	142241
146	24517	142267
147	24659	141957
148	24859	141984
149	25002	141682
150	25128	141286
151	25261	140931
152	25373	140468
153	25566	140449
154	25695	140080
155	25926	140269
156	26066	139960
157	26204	139645
158	26290	139056
159	26401	138609
160	26610	138672
161	26797	138619
162	26909	138181
163	27022	137750
164	27151	137401
165	27309	137203
166	27471	137028
167	27622	136799
168	27808	136740
169	27932	136376
170	28070	136084
171	28163	135578
172	28294	135255
173	28436	134993
174	28694	135272
175	28975	135658
176	29160	135587
177	29270	135169
178	29416	134921
179	29771	135626
180	29917	135370
181	30042	135027
182	30171	134700
183	30307	134405
184	30456	134171
185	30636	134076
186	30840	134080
187	30946	133660
188	31073	133335
189	31195	132991
190	31294	132551
191	31455	132375
192	31613	132188
193	31790	132078
194	31884	131626
195	32012	131317
196	32116	130910
197	32222	130517
198	32380	130334
199	32523	130095
200	32814	130442
201	32974	130265
202	33183	130280
203	33289	129896
204	33402	129536
205	33518	129193
206	33677	129015
207	33845	128873
208	33956	128513
209	34063	128142
210	34196	127871
211	34284	127436
212	34383	127041
213	34543	126873
214	34780	126987
215	34915	126729
216	35051	126476
217	35171	126165
218	35317	125948
219	35422	125590
220	35555	125329
221	35667	124997
222	35849	124909
223	35986	124666
224	36108	124375
225	36243	124127
226	36371	123856
227	36527	123681
228	36783	123842
229	36899	123532
230	37029	123272
231	37169	123044
232	37296	122774
233	37461	122630
234	37599	122397
235	37850	122531
236	37971	122246
237	38090	121952
238	38175	121555
239	38282	121226
240	38381	120877
241	38514	120637
242	38639	120369
243	38871	120437
244	38952	120036
245	39069	119750
246	39174	119427
247	39321	119232
248	39470	119044
249	39599	118799
250	39833	118865
251	39914	118475
252	40033	118200
253	40174	117992
254	40287	117703
255	40428	117494
256	40546	117222
257	40826	117415
258	40993	117281
259	41169	117174
260	41304	116950
261	41488	116865
262	41611	116606
263	41893	116792
264	42023	116554
265	42167	116357
266	42333	116219
267	42480	116029
268	42596	115756
269	42879	115933
270	43001	115675
271	43136	115453
272	43273	115238
273	43428	115069
274	43611	114976
275	43872	115086
276	44015	114884
277	44092	114513
278	44234	114312
279	44406	114187
280	44528	113936
281	44731	113890
282	44906	113773
283	45052	113581
284	45155	113285
285	45244	112952
286	45424	112849
287	45553	112617
288	45753	112562
289	45900	112378
290	46043	112181
291	46148	111894
292	46281	111676
293	46408	111443
294	46968	112247
295	47067	111943
296	47168	111647
297	47276	111370
298	47469	111292
299	47597	111061
300	47847	111114
301	47998	110937
302	48112	110675
303	48228	110417
304	48356	110189
305	48504	110006
306	48609	109726
307	48777	109589
308	48884	109316
309	49039	109153
310	49127	108839
311	49253	108611
312	49459	108558
313	49587	108333
314	49771	108234
315	49877	107962
316	50039	107813
317	50155	107565
318	50256	107288
319	50474	107259
320	50598	107029
321	50952	107285
322	51207	107329
323	52466	109467
324	52998	110074
325	53147	109882
326	53293	109683
327	53565	109744
328	53880	109889
329	54086	109811
330	54256	109660
331	54440	109535
332	54785	109734
333	54953	109578
334	55121	109420
335	55262	109209
336	55374	108942
337	55511	108723
338	55726	108658
339	55874	108462
340	55991	108205
341	56126	107986
342	56245	107735
343	56347	107454
344	56471	107213
345	56777	107319
346	56895	107067
347	57022	106835
348	57132	106570
349	57225	106276
350	57387	106109
351	57507	105866
352	57763	105872
353	57885	105633
